SV_C1,SV_C2,SV_C3,SV_C4,SV_C5,SV_C6,SV_C7,SV_C8,SV_C9,SV_C10,SV_C11,SV_C12,SV_C13,SV_C14,SV_A1,SV_A2,SV_A3,SV_A4,SV_A5,SV_A6,SV_A7,SV_A8,SV_A9,SV_A10
22.465,24.729,24.266,27.611,20.631,17.086,17.17,12.767,28.667,27.237,30.064,35.112,29.819,14.514,17.716,15.327,10.864,13.776,10.851,5.607,1.891,18.158,18.58,7.874
24.17,23.711,22.824,24.537,21.912,17.031,18.483,18.032,33.434,28.286,30.939,31.62,28.811,14.631,17.646,11.703,10.998,13.4,11.194,6.096,2.333,18.104,18.427,11.698
23.869,19.292,24.436,22.639,21.066,16.648,20.635,19.2,31.021,29.893,94.103,30.168,29.67,17.949,17.021,11.122,10.344,13.172,11.558,5.068,2.642,17.263,18.685,9.465
22.044,27.727,27.769,23.727,21.701,18.781,18.05,14.873,29.819,29.444,70.392,31.723,31.012,14.349,15.787,10.239,7.968,13.581,10.716,5.726,2.561,15.967,14.321,12.643
22.703,26.48,26.977,24.986,20.386,16.011,20.064,13.174,28.448,29.228,39.317,32.973,32.129,16.766,17.645,10.924,9.568,14.063,11.018,5.625,3.22,18.493,21.134,8.981
24.764,22.636,29.293,26.376,21.626,16.457,22.005,14.331,28.608,25.267,35.239,31.786,32.316,15.889,17.101,11.356,11.616,14.497,10.324,6.091,2.77,14.046,17.955,12.488
26.104,24.164,25.455,24.622,20.735,17.095,20.571,15.196,28.844,29.856,35.642,30.634,32.117,16.198,16.711,11.898,9.729,12.158,12.908,5.449,3.004,15.498,18.808,9.631
23.16,27.037,24.534,24.976,21.404,18.005,20.146,13.919,27.958,28.648,34.086,34.772,34.76,19.552,15.389,12.361,11.409,11.908,10.725,5.826,2.891,18.435,19.474,13.543
17.401,26.454,24.622,25.073,21.202,16.556,22.235,13.052,27.016,29.285,30.061,31.668,33.521,14.452,17.218,12.218,9.504,14.159,11.717,5.907,3.149,16.779,18.083,10.157
18.319,19.672,22.815,26.295,21.139,16.484,22.87,14.359,27.44,28.982,29.572,30.617,35.5,18.709,16.052,12.304,10.517,13.45,11.939,6.311,2.745,18.202,18.488,13.386
20.206,27.062,22.893,25.277,21.209,17.589,19.352,16.026,22.82,29.168,30.796,30.911,24.486,16.45,17.243,13.561,10.227,12.56,11.35,5.47,3.011,16.641,17.037,10.237
19.374,26.332,24.055,24.826,17.504,18.379,20.294,13.687,27.15,29.548,28.986,34.886,31.604,15.239,16.592,12.848,12.808,12.909,11.385,5.645,2.842,15.656,18.324,13.602
