Time C1,Pressure C1, Volume C1,Time C2,Pressure C2, Volume C2,Time C3,Pressure C3, Volume C3
0.382,1.62637,8.82817,0.197,3.32964,17.9672,2.454,2.21038,17.1334
0.383,1.63949,9.22634,0.198,3.41033,18.2881,2.455,2.23872,17.7992
0.384,1.67123,9.62118,0.199,3.5245,18.6115,2.456,2.28867,18.491
0.385,1.73336,10.0227,0.2,3.56523,18.9507,2.457,2.35956,19.2354
0.386,1.79688,10.42,0.201,3.59318,19.2876,2.458,2.39888,20.0344
0.387,1.85282,10.8345,0.202,3.57599,19.6293,2.459,2.43843,20.8371
0.388,1.90868,11.2462,0.203,3.57001,19.9825,2.46,2.45794,21.6387
0.389,1.93722,11.6731,0.204,3.55713,20.3419,2.461,2.48237,22.4412
0.39,1.95377,12.113,0.205,3.53836,20.6943,2.462,2.47866,23.2413
0.391,1.94855,12.5624,0.206,3.48831,21.0384,2.463,2.4752,24.0037
0.392,1.9241,13.0004,0.207,3.47329,21.3862,2.464,2.4726,24.736
0.393,1.90437,13.4359,0.208,3.45814,21.7358,2.465,2.51062,25.4884
0.394,1.90356,13.8303,0.209,3.43008,22.0756,2.466,2.52158,26.2566
0.395,1.90446,14.2202,0.21,3.40527,22.4042,2.467,2.54375,27.0516
0.396,1.89538,14.6067,0.211,3.40236,22.7223,2.468,2.57663,27.8547
0.397,1.89975,15.0099,0.212,3.39357,23.0323,2.469,2.59791,28.6649
0.398,1.91148,15.4123,0.213,3.41072,23.3584,2.47,2.63503,29.4513
0.399,1.92367,15.8153,0.214,3.41194,23.6904,2.471,2.66222,30.1684
0.4,1.92609,16.2199,0.215,3.42442,23.9617,2.472,2.70019,30.8302
0.401,1.92987,16.6192,0.216,3.42265,24.1915,2.473,2.77237,31.4807
0.402,1.93993,16.9655,0.217,3.43332,24.4232,2.474,2.79672,32.1117
0.403,1.94902,17.3105,0.218,3.44683,24.6517,2.475,2.84459,32.6647
0.404,2.00191,17.6559,0.219,3.4672,24.8849,2.476,2.9033,33.1448
0.405,2.0581,18.0162,0.22,3.46901,25.1232,2.477,2.97409,33.6075
0.406,2.09654,18.3709,0.221,3.4761,25.3688,2.478,3.0089,34.0455
0.407,2.14648,18.7395,0.222,3.48569,25.6295,2.479,3.09466,34.4208
0.408,2.23254,19.1157,0.223,3.49891,25.9011,2.48,3.15065,34.7406
0.409,2.30948,19.515,0.224,3.5054,26.1924,2.481,3.2237,35.0695
0.41,2.3956,19.8884,0.225,3.53959,26.5614,2.482,3.26422,35.3957
0.411,2.49379,20.2891,0.226,3.55894,26.9798,2.483,3.31847,35.7156
0.412,2.57629,20.7075,0.227,3.5967,27.4099,2.484,3.36069,36.0107
0.413,2.66936,21.1394,0.228,3.61259,27.8532,2.485,3.39826,36.3336
0.414,2.76788,21.5747,0.229,3.65731,28.3162,2.486,3.44603,36.6746
0.415,2.85146,22.0153,0.23,3.67707,28.7893,2.487,3.48176,37.0185
0.416,2.91898,22.4213,0.231,3.70613,29.2677,2.488,3.51631,37.329
0.417,2.99245,22.83,0.232,3.75166,29.77,2.489,3.53837,37.6197
0.418,3.08146,23.2336,0.233,3.77704,30.3157,2.49,3.55488,37.9069
0.419,3.16129,23.6309,0.234,3.79854,30.8871,2.491,3.58011,38.2691
0.42,3.24159,23.9412,0.235,3.83085,31.4536,2.492,3.59686,38.6266
0.421,3.29249,24.2431,0.236,3.85532,32.0241,2.493,3.62122,38.9692
0.422,3.32629,24.4762,0.237,3.88497,32.5831,2.494,3.61688,39.2851
0.423,3.35629,24.7358,0.238,3.90381,33.1424,2.495,3.62964,39.5756
0.424,3.3641,25.0349,0.239,3.91045,33.7306,2.496,3.60807,39.8235
0.425,3.35077,25.3963,0.24,3.93361,34.3356,2.497,3.62336,40.0199
0.426,3.35041,25.819,0.241,3.95772,34.9553,2.498,3.60755,40.1167
0.427,3.34214,26.2586,0.242,3.95947,35.5805,2.499,3.59489,40.0874
0.428,3.3207,26.6339,0.243,3.96577,36.1588,2.5,3.58586,39.9877
0.429,3.31322,27.0636,0.244,3.98724,36.7062,2.501,3.61417,39.8337
0.43,3.32864,27.5345,0.245,3.98018,37.185,2.502,3.64936,39.6281
0.431,3.36322,28.062,0.246,3.98336,37.6469,2.503,3.80692,39.4231
0.432,3.49385,28.6597,0.247,4.0065,38.0613,2.504,4.15663,39.227
0.433,3.78373,29.3273,0.248,4.00005,38.4674,2.505,4.80591,39.0392
0.434,4.31263,30.0985,0.249,4.01427,38.9187,2.506,5.90364,38.8058
0.435,5.15681,30.9213,0.25,4.0234,39.4102,2.507,7.47019,38.5547
0.436,6.4042,31.7621,0.251,4.02198,39.9726,2.508,9.53632,38.2529
0.437,8.22505,32.6179,0.252,4.02262,40.5611,2.509,12.334,37.9112
0.438,11.0584,33.5176,0.253,4.02804,41.1511,2.51,16.0032,37.5198
0.439,15.3294,34.386,0.254,4.02383,41.6997,2.511,20.2901,37.1029
0.44,20.6691,35.2223,0.255,4.04216,42.1854,2.512,24.8959,36.6782
0.441,26.9511,35.9747,0.256,4.08385,42.6839,2.513,29.603,36.2569
0.442,33.7832,36.6687,0.257,4.18217,43.2346,2.514,34.3067,35.77
0.443,40.6685,37.3266,0.258,4.40883,43.7947,2.515,39.0845,35.2493
0.444,47.7519,37.9415,0.259,4.8479,44.3916,2.516,43.6845,34.7312
0.445,54.59,38.4498,0.26,5.55527,44.9784,2.517,47.8225,34.2411
0.446,60.4824,38.8667,0.261,6.60789,45.557,2.518,51.5031,33.6977
0.447,65.1391,39.1632,0.262,8.05761,46.0983,2.519,54.7542,33.1218
0.448,68.6539,39.3498,0.263,10.3195,46.6446,2.52,57.5169,32.5428
0.449,71.1115,39.379,0.264,13.9801,47.1605,2.521,59.8087,31.9884
0.45,72.7411,39.2777,0.265,18.2027,47.6879,2.522,61.7034,31.3726
0.451,73.96,39.0515,0.266,22.414,48.1116,2.523,63.2779,30.7204
0.452,74.9425,38.6879,0.267,26.8145,48.4432,2.524,64.5844,30.0405
0.453,75.8223,38.1548,0.268,31.1869,48.6773,2.525,65.662,29.3416
0.454,76.6517,37.4639,0.269,35.2277,48.8453,2.526,66.5085,28.5791
