Time A1,Pressure A1,Volume A1,Time A2,Pressure A2,Volume A2,Time A3,Pressure A3,Volume A3
2.661,3.53255,25.1011,4.259,5.89974,22.9758,0.425,4.21756,13.0249
2.662,3.53574,25.7679,4.26,5.90551,23.5591,0.426,4.2309,13.2151
2.663,3.54498,26.4586,4.261,5.9558,24.1609,0.427,4.26926,13.4144
2.664,3.56011,27.1334,4.262,6.00498,24.7841,0.428,4.29267,13.6052
2.665,3.5888,27.6706,4.263,6.07989,25.4026,0.429,4.328,13.798
2.666,3.6494,28.1814,4.264,6.16621,26.005,0.43,4.35455,13.9829
2.667,3.73835,28.6159,4.265,6.2551,26.5912,0.431,4.38134,14.1724
2.668,3.82096,29.0363,4.266,6.32302,27.1664,0.432,4.42998,14.3599
2.669,3.9107,29.4852,4.267,6.40338,27.7105,0.433,4.47629,14.5554
2.67,4.03876,29.9233,4.268,6.49319,28.1998,0.434,4.51599,14.7422
2.671,4.15015,30.3697,4.269,6.5898,28.65,0.435,4.55366,14.9361
2.672,4.24616,30.8645,4.27,6.68872,29.0502,0.436,4.60352,15.136
2.673,4.36532,31.3815,4.271,6.78706,29.4614,0.437,4.63997,15.3388
2.674,4.4637,31.9697,4.272,6.86954,29.8635,0.438,4.68933,15.5256
2.675,4.55015,32.5984,4.273,6.98603,30.2368,0.439,4.70965,15.7107
2.676,4.64416,33.255,4.274,7.06203,30.551,0.44,4.75565,15.8875
2.677,4.72576,33.987,4.275,7.15658,30.7615,0.441,4.80372,16.0811
2.678,4.83051,34.7007,4.276,7.20375,30.9259,0.442,4.8468,16.2776
2.679,4.92411,35.4399,4.277,7.23633,31.1808,0.443,4.90172,16.4924
2.68,5.01838,36.091,4.278,7.24479,31.4453,0.444,4.94951,16.7198
2.681,5.09728,36.5743,4.279,7.26749,31.7383,0.445,4.99271,16.9571
2.682,5.18022,36.9535,4.28,7.2653,32.0178,0.446,5.02598,17.1956
2.683,5.26963,37.1658,4.281,7.27463,32.2262,0.447,5.05496,17.4432
2.684,5.35036,37.3224,4.282,7.30774,32.3561,0.448,5.12127,17.6887
2.685,5.4143,37.4144,4.283,7.34376,32.484,0.449,5.18385,17.9433
2.686,5.48116,37.4504,4.284,7.36029,32.6121,0.45,5.22566,18.2061
2.687,5.54017,37.4544,4.285,7.41748,32.7748,0.451,5.28024,18.4885
2.688,5.60412,37.4329,4.286,7.45633,32.9544,0.452,5.31544,18.7747
2.689,5.6671,37.3807,4.287,7.5133,33.1051,0.453,5.34384,19.0628
2.69,5.70219,37.4469,4.288,7.55176,33.2101,0.454,5.37688,19.3507
2.691,5.73005,37.5588,4.289,7.60831,33.368,0.455,5.40834,19.6234
2.692,5.76175,37.7433,4.29,7.64515,33.5516,0.456,5.42168,19.8791
2.693,5.78465,38.0201,4.291,7.68603,33.6959,0.457,5.44084,20.1382
2.694,5.81073,38.2675,4.292,7.71248,33.788,0.458,5.46632,20.4015
2.695,5.82025,38.4877,4.293,7.74792,33.8671,0.459,5.48829,20.6482
2.696,5.81566,38.6665,4.294,7.76171,33.9602,0.46,5.50668,20.8777
2.697,5.80806,38.8033,4.295,7.78917,34.096,0.461,5.52343,21.0777
2.698,5.82723,38.8334,4.296,7.79131,34.2245,0.462,5.52162,21.2455
2.699,5.84253,38.6708,4.297,7.78476,34.3612,0.463,5.52353,21.379
2.7,5.8355,38.4954,4.298,7.77242,34.5218,0.464,5.51721,21.4635
2.701,5.83983,38.2505,4.299,7.75831,34.6954,0.465,5.53749,21.52
2.702,5.87173,37.9493,4.3,7.74756,34.8879,0.466,5.54132,21.5353
2.703,5.92074,37.6803,4.301,7.77201,35.086,0.467,5.56715,21.5337
2.704,6.0394,37.3734,4.302,7.82775,35.2643,0.468,5.5807,21.508
2.705,6.24931,37.0622,4.303,7.97417,35.462,0.469,5.66235,21.4873
2.706,6.64006,36.9087,4.304,8.2761,35.6965,0.47,5.75433,21.461
2.707,7.28362,36.8458,4.305,8.88589,36.0691,0.471,5.91664,21.4364
2.708,8.35554,36.9638,4.306,10.1493,36.5408,0.472,6.14015,21.4016
2.709,10.0709,37.2027,4.307,13.4584,37.0319,0.473,6.46023,21.3797
2.71,13.277,37.5267,4.308,18.1374,37.5524,0.474,6.96412,21.3759
2.711,18.2259,37.9842,4.309,23.4894,38.1095,0.475,7.69475,21.3913
2.712,24.0677,38.4365,4.31,30.031,38.6841,0.476,8.72072,21.4198
2.713,30.4293,38.9113,4.311,37.3216,39.2593,0.477,10.2497,21.4389
2.714,37.1276,39.2949,4.312,45.2012,39.7969,0.478,12.3498,21.457
2.715,43.8122,39.5673,4.313,53.5285,40.3104,0.479,14.9173,21.4873
2.716,50.2908,39.7713,4.314,62.3094,40.8025,0.48,17.9065,21.5266
2.717,56.498,39.8932,4.315,71.6919,41.2447,0.481,21.2779,21.5619
2.718,62.4573,39.8905,4.316,81.3364,41.6295,0.482,24.929,21.595
2.719,68.2883,39.8161,4.317,90.2183,41.9744,0.483,28.8248,21.62
2.72,74.0238,39.574,4.318,97.3017,42.2591,0.484,32.9447,21.6369
2.721,79.4621,39.2721,4.319,102.062,42.4848,0.485,37.2833,21.6299
2.722,83.9465,38.9721,4.32,104.13,42.6372,0.486,41.7069,21.607
2.723,87.1062,38.6544,4.321,104.883,42.6969,0.487,46.0477,21.5597
2.724,89.1839,38.3967,4.322,105.213,42.706,0.488,50.0718,21.4938
2.725,90.3398,38.1351,4.323,105.706,42.755,0.489,53.6344,21.4046
2.726,91.0043,37.8853,4.324,106.578,42.7559,0.49,56.8027,21.2916
2.727,91.4125,37.6348,4.325,107.733,42.6475,0.491,59.6395,21.1397
2.728,91.6976,37.3263,4.326,108.913,42.406,0.492,62.1121,20.9594
2.729,91.8951,36.9837,4.327,109.992,42.032,0.493,64.3109,20.7604
2.73,92.0279,36.5581,4.328,110.861,41.5776,0.494,66.278,20.547
2.731,92.0672,36.0496,4.329,111.553,41.0659,0.495,68.1194,20.2949
2.732,92.0321,35.4241,4.33,112.087,40.4328,0.496,69.8281,20.015
2.733,91.8865,34.6602,4.331,112.49,39.6708,0.497,71.3969,19.7058
2.734,91.5956,33.7101,4.332,112.721,38.8439,0.498,72.8397,19.3618
2.735,91.1744,32.6527,4.333,112.89,37.9723,0.499,74.1434,18.967
2.736,90.6528,31.499,4.334,112.994,37.0278,0.5,75.2699,18.5374
2.737,89.9604,30.2733,4.335,113.046,36.0386,0.501,76.2651,18.0742
2.738,89.1421,28.9823,4.336,113.06,35.0246,0.502,77.1199,17.5892
2.739,88.2172,27.7234,4.337,113.081,34.0272,0.503,77.846,17.0746
2.74,87.1918,26.6455,4.338,113.162,33.0027,0.504,78.4217,16.5453
2.741,86.0959,25.6627,4.339,113.375,31.9531,0.505,78.8979,16.0154
2.742,84.9635,24.8573,4.34,113.68,30.8983,0.506,79.233,15.4829
2.743,83.7801,24.1371,4.341,114.056,29.8452,0.507,79.4772,14.9723
2.744,82.51,23.467,4.342,114.515,28.857,0.508,79.5938,14.4782
2.745,81.1507,22.8957,4.343,115.153,27.9698,0.509,79.6201,13.9979
2.746,79.7652,22.4169,4.344,115.937,27.156,0.51,79.4916,13.5277
2.747,78.3952,22.0243,4.345,116.843,26.43,0.511,79.2137,13.0852
2.748,77.0526,21.6459,4.346,117.725,25.6827,0.512,78.7849,12.6802
2.749,75.6138,21.29,4.347,118.414,24.9022,0.513,78.2212,12.3181
2.75,73.9319,20.9553,4.348,118.759,24.1309,0.514,77.5029,11.9856
2.751,71.8243,20.6258,4.349,118.661,23.3783,0.515,76.6467,11.6647
2.752,68.5567,20.2389,4.35,118.019,22.6401,0.516,75.6547,11.3698
2.753,62.7092,19.8717,4.351,116.748,21.9067,0.517,74.5191,11.1005
2.754,56.2623,19.485,4.352,114.668,21.2134,0.518,73.2175,10.8733
2.755,50.9222,19.1859,4.353,111.259,20.5621,0.519,71.7337,10.6694
2.756,45.9214,19.0118,4.354,104.596,19.9311,0.52,70.0428,10.4944
2.757,40.9292,18.9399,4.355,93.6406,19.3105,0.521,68.118,10.3519
2.758,35.9731,18.9797,4.356,82.5716,18.7463,0.522,65.8723,10.2532
2.759,31.2239,19.096,4.357,72.4167,18.2605,0.523,63.348,10.1671
2.76,26.8853,19.2892,4.358,62.9693,17.8325,0.524,60.4564,10.1039
2.761,22.8929,19.5524,4.359,54.3968,17.422,0.525,57.2003,10.0473
2.762,19.2643,19.8584,4.36,46.7516,17.0522,0.526,53.4278,10.0099
2.763,15.9524,20.2147,4.361,39.9457,16.7342,0.527,49.1194,9.99113
2.764,13.0087,20.5202,4.362,33.871,16.4923,0.528,44.3469,10.0009
2.765,10.4074,20.8207,4.363,28.529,16.3381,0.529,39.6292,10.0149
2.766,8.16663,21.0631,4.364,23.873,16.1945,0.53,35.2548,10.0493
2.767,6.24278,21.2853,4.365,19.8474,16.0642,0.531,31.2735,10.1051
2.768,4.67659,21.4945,4.366,16.3966,15.9812,0.532,27.5651,10.1924
2.769,3.46921,21.7192,4.367,13.56,15.9269,0.533,24.1854,10.3078
2.77,2.60021,21.9873,4.368,11.3317,15.9013,0.534,21.1485,10.4432
2.771,2.00329,22.3147,4.369,9.7679,15.9129,0.535,18.4589,10.5773
2.772,1.6667,22.6724,4.37,8.72655,15.9687,0.536,16.0941,10.7276
2.773,1.49087,23.0891,4.371,8.03998,16.0673,0.537,13.9967,10.8875
2.774,1.46072,23.567,4.372,7.59001,16.2035,0.538,11.9828,11.0652
2.775,1.47534,24.0889,4.373,7.26639,16.348,0.539,10.216,11.2605
2.776,1.55321,24.6714,4.374,6.96762,16.5443,0.54,8.75312,11.4754
2.777,1.62477,25.294,4.375,6.70704,16.814,0.541,7.56877,11.7208
2.778,1.70373,25.9968,4.376,6.55595,17.1227,0.542,6.58665,11.9768
2.779,1.78329,26.7258,4.377,6.44643,17.4576,0.543,5.83402,12.211
2.78,1.83229,27.4243,4.378,6.33785,17.7931,0.544,5.27868,12.4369
2.781,1.899,28.0973,4.379,6.23687,18.1211,0.545,4.90378,12.643
2.782,1.97956,28.6431,4.38,6.14313,18.454,0.546,4.65244,12.8453
2.783,2.07174,29.126,4.381,6.06033,18.7992,0.547,4.49755,13.0552
2.784,2.20146,29.5466,4.382,5.97647,19.1585,0.548,4.40787,13.2636
2.785,2.29178,29.9286,4.383,5.92924,19.511,0.549,4.37775,13.4609
2.786,2.44666,30.2938,4.384,5.89617,19.8701,0.55,4.37005,13.6618
2.787,2.6055,30.6507,4.385,5.88182,20.2472,0.551,4.40631,13.8523
2.788,2.77578,31.0146,4.386,5.8716,20.6274,0.552,4.44731,14.0348
2.789,2.94718,31.4336,4.387,5.88578,21.0025,0.553,4.49658,14.2116
2.79,3.12111,31.881,4.388,5.92916,21.3741,0.554,4.53792,14.3906
2.791,3.25911,32.3541,4.389,5.96348,21.7486,0.555,4.5801,14.5666
2.792,3.40121,32.8847,4.39,6.02274,22.0957,0.556,4.60425,14.7534
2.793,3.54059,33.4267,4.391,6.11447,22.3779,0.557,4.64471,14.956
2.794,3.65792,34.04,4.392,6.16561,22.6444,0.558,4.70384,15.1608
2.795,3.77921,34.6447,4.393,6.24665,22.8967,0.559,4.72789,15.3547
2.796,3.90352,35.2454,4.394,6.32638,23.1444,0.56,4.7687,15.5543
2.797,4.01321,35.7884,4.395,6.40212,23.3649,0.561,4.80568,15.7469
2.798,4.11321,36.1479,4.396,6.49234,23.5961,0.562,4.85331,15.9251
2.799,4.24153,36.4211,4.397,6.59417,23.8402,0.563,4.90482,16.0925
2.8,4.3253,36.5813,4.398,6.68742,24.0614,0.564,4.94926,16.2627
2.801,4.42456,36.6731,4.399,6.77063,24.2306,0.565,5.00308,16.422
2.802,4.51793,36.7377,4.4,6.87678,24.4366,0.566,5.05511,16.5892
2.803,4.5809,36.751,4.401,6.95186,24.6649,0.567,5.10607,16.7652
