Time C2,Pressure C2, Volume C2
3.283333333,3.32964,17.9672
3.3,3.41033,18.2881
3.316666667,3.5245,18.6115
3.333333333,3.56523,18.9507
3.35,3.59318,19.2876
3.366666667,3.57599,19.6293
3.383333333,3.57001,19.9825
3.4,3.55713,20.3419
3.416666667,3.53836,20.6943
3.433333333,3.48831,21.0384
3.45,3.47329,21.3862
3.466666667,3.45814,21.7358
3.483333333,3.43008,22.0756
3.5,3.40527,22.4042
3.516666667,3.40236,22.7223
3.533333333,3.39357,23.0323
3.55,3.41072,23.3584
3.566666667,3.41194,23.6904
3.583333333,3.42442,23.9617
3.6,3.42265,24.1915
3.616666667,3.43332,24.4232
3.633333333,3.44683,24.6517
3.65,3.4672,24.8849
3.666666667,3.46901,25.1232
3.683333333,3.4761,25.3688
3.7,3.48569,25.6295
3.716666667,3.49891,25.9011
3.733333333,3.5054,26.1924
3.75,3.53959,26.5614
3.766666667,3.55894,26.9798
3.783333333,3.5967,27.4099
3.8,3.61259,27.8532
3.816666667,3.65731,28.3162
3.833333333,3.67707,28.7893
3.85,3.70613,29.2677
3.866666667,3.75166,29.77
3.883333333,3.77704,30.3157
3.9,3.79854,30.8871
3.916666667,3.83085,31.4536
3.933333333,3.85532,32.0241
3.95,3.88497,32.5831
3.966666667,3.90381,33.1424
3.983333333,3.91045,33.7306
4,3.93361,34.3356
4.016666667,3.95772,34.9553
4.033333333,3.95947,35.5805
4.05,3.96577,36.1588
4.066666667,3.98724,36.7062
4.083333333,3.98018,37.185
4.1,3.98336,37.6469
4.116666667,4.0065,38.0613
4.133333333,4.00005,38.4674
4.15,4.01427,38.9187
4.166666667,4.0234,39.4102
4.183333333,4.02198,39.9726
4.2,4.02262,40.5611
4.216666667,4.02804,41.1511
4.233333333,4.02383,41.6997
4.25,4.04216,42.1854
4.266666667,4.08385,42.6839
4.283333333,4.18217,43.2346
4.3,4.40883,43.7947
4.316666667,4.8479,44.3916
4.333333333,5.55527,44.9784
4.35,6.60789,45.557
4.366666667,8.05761,46.0983
4.383333333,10.3195,46.6446
4.4,13.9801,47.1605
4.416666667,18.2027,47.6879
4.433333333,22.414,48.1116
4.45,26.8145,48.4432
4.466666667,31.1869,48.6773
4.483333333,35.2277,48.8453
4.5,38.9138,48.9079
4.516666667,42.2208,48.8874
4.533333333,45.0927,48.7494
4.55,47.5327,48.5353
4.566666667,49.4601,48.1785
4.583333333,50.9874,47.6976
4.6,52.2221,47.0957
4.616666667,53.2211,46.3643
4.633333333,54.0277,45.5353
4.65,54.6658,44.6292
4.666666667,55.1575,43.5993
4.683333333,55.5201,42.4454
4.7,55.7388,41.1657
4.716666667,55.856,39.7875
4.733333333,55.7999,38.3652
4.75,55.6382,36.895
4.766666667,55.3478,35.4483
4.783333333,54.9287,34.0331
4.8,54.4355,32.7093
4.816666667,53.8329,31.4775
4.833333333,53.1905,30.2747
4.85,52.528,29.1282
4.866666667,51.8615,27.9754
4.883333333,51.3474,26.8366
4.9,50.9805,25.7389
4.916666667,50.6965,24.7079
4.933333333,50.3348,23.7642
4.95,49.8207,22.9155
4.966666667,49.1845,22.1321
4.983333333,48.4117,21.4446
5,47.4818,20.8054
5.016666667,46.403,20.2497
5.033333333,45.1417,19.7623
5.05,43.71,19.3616
5.066666667,42.1509,18.9954
5.083333333,40.4673,18.7015
5.1,38.4883,18.4105
5.116666667,35.7064,18.1546
5.133333333,32.624,17.9193
5.15,29.9254,17.736
5.166666667,27.5043,17.5652
5.183333333,25.0695,17.4327
5.2,22.4887,17.3099
5.216666667,19.9292,17.2134
5.233333333,17.7247,17.099
5.25,16.001,17.0026
5.266666667,14.5696,16.8952
5.283333333,13.2483,16.7785
5.3,12.0486,16.6959
5.316666667,10.9858,16.6488
5.333333333,10.0141,16.6167
5.35,9.13235,16.6017
5.366666667,8.26836,16.6377
5.383333333,7.19854,16.7323
5.4,6.1697,16.8559
5.416666667,5.23672,17.0087
5.433333333,4.46969,17.2042
5.45,3.86617,17.4303
5.466666667,3.47616,17.6853
5.483333333,3.26565,17.9749
5.5,3.21629,18.2722
5.516666667,3.31219,18.5835
5.533333333,3.44426,18.8878
5.55,3.59247,19.1937
5.566666667,3.67708,19.5162
5.583333333,3.67298,19.8404
5.6,3.65936,20.171
5.616666667,3.62906,20.5032
5.633333333,3.60577,20.8459
5.65,3.55275,21.1884
5.666666667,3.53037,21.5206
5.683333333,3.49991,21.8352
5.7,3.49863,22.1425
5.716666667,3.47754,22.4343
5.733333333,3.48211,22.7306
5.75,3.48294,23.0189
5.766666667,3.50254,23.32
5.783333333,3.51828,23.6355
5.8,3.52957,23.9551
5.816666667,3.51628,24.2572
5.833333333,3.5282,24.5556
5.85,3.53436,24.8366
5.866666667,3.5543,25.1173
5.883333333,3.54108,25.3813
5.9,3.57545,25.649
5.916666667,3.58099,25.8979
5.933333333,3.59395,26.178
5.95,3.6106,26.4902
5.966666667,3.64715,26.8704
5.983333333,3.67884,27.2872
6,3.69866,27.7234
6.016666667,3.71906,28.1673
6.033333333,3.73628,28.703
6.05,3.76697,29.3054
6.066666667,3.80724,29.8149
6.083333333,3.78113,30.2318
6.1,3.77036,30.6818
6.116666667,3.78602,31.1618
6.133333333,3.79977,31.6786
6.15,3.84425,32.2129
6.166666667,3.89914,32.7283
6.183333333,3.92145,33.2246
6.2,3.92707,33.7676
6.216666667,3.93843,34.3509
6.233333333,3.9697,34.9211
6.25,3.97036,35.4724
6.266666667,3.98738,36.0307
6.283333333,3.98888,36.5829
6.3,4.01545,37.0826
6.316666667,4.00768,37.5332
6.333333333,3.99593,38.0155
6.35,4.0097,38.5233
6.366666667,4.01086,39.05
6.383333333,4.02212,39.5828
6.4,4.03278,40.1714
6.416666667,4.01166,40.7854
6.433333333,4.01873,41.3634
6.45,4.0223,41.8865
6.466666667,4.05227,42.3479
6.483333333,4.11068,42.7759
6.5,4.30553,43.2508
6.516666667,4.63857,43.7417
6.533333333,5.21947,44.2546
6.55,6.1,44.7627
6.566666667,7.35681,45.293
6.583333333,9.17227,45.8194
6.6,12.2595,46.3961
6.616666667,16.3066,46.9365
6.633333333,20.4503,47.4309
6.65,24.7001,47.8349
6.666666667,29.0482,48.1635
6.683333333,33.1856,48.4023
6.7,36.9988,48.5458
6.716666667,40.4355,48.5031
6.733333333,43.4772,48.2721
6.75,46.0672,47.9735
6.766666667,48.1801,47.6525
6.783333333,49.869,47.2101
6.8,51.2104,46.6613
6.816666667,52.2931,45.9929
6.833333333,53.1691,45.198
6.85,53.8519,44.3146
