Time A1 (s),Pressure A1 (mmHg),Volume A1 (μl)
2.661,3.53255,25.1011
2.662,3.53574,25.7679
2.663,3.54498,26.4586
2.664,3.56011,27.1334
2.665,3.5888,27.6706
2.666,3.6494,28.1814
2.667,3.73835,28.6159
2.668,3.82096,29.0363
2.669,3.9107,29.4852
2.670,4.03876,29.9233
2.671,4.15015,30.3697
2.672,4.24616,30.8645
2.673,4.36532,31.3815
2.674,4.4637,31.9697
2.675,4.55015,32.5984
2.676,4.64416,33.255
2.677,4.72576,33.987
2.678,4.83051,34.7007
2.679,4.92411,35.4399
2.680,5.01838,36.091
2.681,5.09728,36.5743
2.682,5.18022,36.9535
2.683,5.26963,37.1658
2.684,5.35036,37.3224
2.685,5.4143,37.4144
2.686,5.48116,37.4504
2.687,5.54017,37.4544
2.688,5.60412,37.4329
2.689,5.6671,37.3807
2.690,5.70219,37.4469
2.691,5.73005,37.5588
2.692,5.76175,37.7433
2.693,5.78465,38.0201
2.694,5.81073,38.2675
2.695,5.82025,38.4877
2.696,5.81566,38.6665
2.697,5.80806,38.8033
2.698,5.82723,38.8334
2.699,5.84253,38.6708
2.700,5.8355,38.4954
2.701,5.83983,38.2505
2.702,5.87173,37.9493
2.703,5.92074,37.6803
2.704,6.0394,37.3734
2.705,6.24931,37.0622
2.706,6.64006,36.9087
2.707,7.28362,36.8458
2.708,8.35554,36.9638
2.709,10.0709,37.2027
2.710,13.277,37.5267
2.711,18.2259,37.9842
2.712,24.0677,38.4365
2.713,30.4293,38.9113
2.714,37.1276,39.2949
2.715,43.8122,39.5673
2.716,50.2908,39.7713
2.717,56.498,39.8932
2.718,62.4573,39.8905
2.719,68.2883,39.8161
2.720,74.0238,39.574
2.721,79.4621,39.2721
2.722,83.9465,38.9721
2.723,87.1062,38.6544
2.724,89.1839,38.3967
2.725,90.3398,38.1351
2.726,91.0043,37.8853
2.727,91.4125,37.6348
2.728,91.6976,37.3263
2.729,91.8951,36.9837
2.730,92.0279,36.5581
2.731,92.0672,36.0496
2.732,92.0321,35.4241
2.733,91.8865,34.6602
2.734,91.5956,33.7101
2.735,91.1744,32.6527
2.736,90.6528,31.499
2.737,89.9604,30.2733
2.738,89.1421,28.9823
2.739,88.2172,27.7234
2.740,87.1918,26.6455
2.741,86.0959,25.6627
2.742,84.9635,24.8573
2.743,83.7801,24.1371
2.744,82.51,23.467
2.745,81.1507,22.8957
2.746,79.7652,22.4169
2.747,78.3952,22.0243
2.748,77.0526,21.6459
2.749,75.6138,21.29
2.750,73.9319,20.9553
2.751,71.8243,20.6258
2.752,68.5567,20.2389
2.753,62.7092,19.8717
2.754,56.2623,19.485
2.755,50.9222,19.1859
2.756,45.9214,19.0118
2.757,40.9292,18.9399
2.758,35.9731,18.9797
2.759,31.2239,19.096
2.760,26.8853,19.2892
2.761,22.8929,19.5524
2.762,19.2643,19.8584
2.763,15.9524,20.2147
2.764,13.0087,20.5202
2.765,10.4074,20.8207
2.766,8.16663,21.0631
2.767,6.24278,21.2853
2.768,4.67659,21.4945
2.769,3.46921,21.7192
2.770,2.60021,21.9873
2.771,2.00329,22.3147
2.772,1.6667,22.6724
2.773,1.49087,23.0891
2.774,1.46072,23.567
2.775,1.47534,24.0889
2.776,1.55321,24.6714
2.777,1.62477,25.294
2.778,1.70373,25.9968
2.779,1.78329,26.7258
2.780,1.83229,27.4243
2.781,1.899,28.0973
2.782,1.97956,28.6431
2.783,2.07174,29.126
2.784,2.20146,29.5466
2.785,2.29178,29.9286
2.786,2.44666,30.2938
2.787,2.6055,30.6507
2.788,2.77578,31.0146
2.789,2.94718,31.4336
2.790,3.12111,31.881
2.791,3.25911,32.3541
2.792,3.40121,32.8847
2.793,3.54059,33.4267
2.794,3.65792,34.04
2.795,3.77921,34.6447
2.796,3.90352,35.2454
2.797,4.01321,35.7884
2.798,4.11321,36.1479
2.799,4.24153,36.4211
2.800,4.3253,36.5813
2.801,4.42456,36.6731
2.802,4.51793,36.7377
2.803,4.5809,36.751
2.804,4.66288,36.7116
2.805,4.73114,36.7112
2.806,4.77772,36.7541
2.807,4.81735,36.8863
2.808,4.8549,37.073
2.809,4.87747,37.3056
2.810,4.90268,37.6399
2.811,4.93908,37.9479
2.812,4.96544,38.2806
2.813,4.99568,38.5615
2.814,5.02101,38.7295
2.815,5.04983,38.81
2.816,5.10523,38.6655
2.817,5.12791,38.4577
2.818,5.15492,38.2117
2.819,5.20347,37.9069
2.820,5.28621,37.59
2.821,5.46861,37.284
2.822,5.7672,36.9975
2.823,6.29456,36.8418
2.824,7.16985,36.7789
2.825,8.56146,36.8306
2.826,10.9084,37.0281
2.827,15.2812,37.2855
2.828,20.9988,37.6872
2.829,27.3496,38.0589
2.830,34.0482,38.4221
2.831,40.7895,38.7326
2.832,47.2958,38.916
2.833,53.4598,39.0334
2.834,59.2954,39.1414
2.835,64.9807,39.1048
2.836,70.5982,38.9707
2.837,76.1075,38.6947
2.838,81.1269,38.355
2.839,85.0307,38.0546
2.840,87.7025,37.7654
2.841,89.3966,37.5157
2.842,90.3342,37.2849
2.843,90.8532,37.0073
2.844,91.1642,36.7354
2.845,91.3603,36.4047
2.846,91.4885,36.0416
2.847,91.591,35.5633
2.848,91.6273,34.9655
2.849,91.5721,34.2953
2.850,91.3989,33.523
2.851,91.1032,32.6161
2.852,90.6522,31.6136
2.853,90.0791,30.4604
2.854,89.387,29.227
2.855,88.6151,27.991
2.856,87.7559,26.7643
2.857,86.7982,25.7587
2.858,85.7325,24.8658
2.859,84.607,24.099
2.860,83.3877,23.4447
2.861,82.1143,22.8642
2.862,80.8002,22.3927
2.863,79.5022,21.9761
2.864,78.1618,21.6291
2.865,76.7403,21.3228
2.866,75.1262,21.0195
2.867,73.1749,20.7302
2.868,70.3846,20.4872
2.869,65.3411,20.1812
2.870,58.882,19.9133
2.871,53.3825,19.6443
2.872,48.3822,19.4388
2.873,43.4815,19.3896
2.874,38.5707,19.4211
2.875,33.7803,19.492
2.876,29.3356,19.6302
2.877,25.2893,19.8395
2.878,21.5249,20.1239
2.879,18.0667,20.4207
2.880,14.9135,20.7581
2.881,12.1502,21.0386
2.882,9.71429,21.2612
2.883,7.62214,21.4598
2.884,5.87557,21.6384
2.885,4.4862,21.8123
2.886,3.45814,22.0211
2.887,2.75931,22.2161
2.888,2.3009,22.4448
2.889,2.04879,22.7404
2.890,1.92776,23.0879
2.891,1.92495,23.5327
2.892,1.96632,24.0356
2.893,2.02008,24.6318
