Time C2,Pressure C2, Volume C2
0.197,3.32964,17.9672
0.198,3.41033,18.2881
0.199,3.5245,18.6115
0.2,3.56523,18.9507
0.201,3.59318,19.2876
0.202,3.57599,19.6293
0.203,3.57001,19.9825
0.204,3.55713,20.3419
0.205,3.53836,20.6943
0.206,3.48831,21.0384
0.207,3.47329,21.3862
0.208,3.45814,21.7358
0.209,3.43008,22.0756
0.21,3.40527,22.4042
0.211,3.40236,22.7223
0.212,3.39357,23.0323
0.213,3.41072,23.3584
0.214,3.41194,23.6904
0.215,3.42442,23.9617
0.216,3.42265,24.1915
0.217,3.43332,24.4232
0.218,3.44683,24.6517
0.219,3.4672,24.8849
0.22,3.46901,25.1232
0.221,3.4761,25.3688
0.222,3.48569,25.6295
0.223,3.49891,25.9011
0.224,3.5054,26.1924
0.225,3.53959,26.5614
0.226,3.55894,26.9798
0.227,3.5967,27.4099
0.228,3.61259,27.8532
0.229,3.65731,28.3162
0.23,3.67707,28.7893
0.231,3.70613,29.2677
0.232,3.75166,29.77
0.233,3.77704,30.3157
0.234,3.79854,30.8871
0.235,3.83085,31.4536
0.236,3.85532,32.0241
0.237,3.88497,32.5831
0.238,3.90381,33.1424
0.239,3.91045,33.7306
0.24,3.93361,34.3356
0.241,3.95772,34.9553
0.242,3.95947,35.5805
0.243,3.96577,36.1588
0.244,3.98724,36.7062
0.245,3.98018,37.185
0.246,3.98336,37.6469
0.247,4.0065,38.0613
0.248,4.00005,38.4674
0.249,4.01427,38.9187
0.25,4.0234,39.4102
0.251,4.02198,39.9726
0.252,4.02262,40.5611
0.253,4.02804,41.1511
0.254,4.02383,41.6997
0.255,4.04216,42.1854
0.256,4.08385,42.6839
0.257,4.18217,43.2346
0.258,4.40883,43.7947
0.259,4.8479,44.3916
0.26,5.55527,44.9784
0.261,6.60789,45.557
0.262,8.05761,46.0983
0.263,10.3195,46.6446
0.264,13.9801,47.1605
0.265,18.2027,47.6879
0.266,22.414,48.1116
0.267,26.8145,48.4432
0.268,31.1869,48.6773
0.269,35.2277,48.8453
0.27,38.9138,48.9079
0.271,42.2208,48.8874
0.272,45.0927,48.7494
0.273,47.5327,48.5353
0.274,49.4601,48.1785
0.275,50.9874,47.6976
0.276,52.2221,47.0957
0.277,53.2211,46.3643
0.278,54.0277,45.5353
0.279,54.6658,44.6292
0.28,55.1575,43.5993
0.281,55.5201,42.4454
0.282,55.7388,41.1657
0.283,55.856,39.7875
0.284,55.7999,38.3652
0.285,55.6382,36.895
0.286,55.3478,35.4483
0.287,54.9287,34.0331
0.288,54.4355,32.7093
0.289,53.8329,31.4775
0.29,53.1905,30.2747
0.291,52.528,29.1282
0.292,51.8615,27.9754
0.293,51.3474,26.8366
0.294,50.9805,25.7389
0.295,50.6965,24.7079
0.296,50.3348,23.7642
0.297,49.8207,22.9155
0.298,49.1845,22.1321
0.299,48.4117,21.4446
0.3,47.4818,20.8054
0.301,46.403,20.2497
0.302,45.1417,19.7623
0.303,43.71,19.3616
0.304,42.1509,18.9954
0.305,40.4673,18.7015
0.306,38.4883,18.4105
0.307,35.7064,18.1546
0.308,32.624,17.9193
0.309,29.9254,17.736
0.31,27.5043,17.5652
0.311,25.0695,17.4327
0.312,22.4887,17.3099
0.313,19.9292,17.2134
0.314,17.7247,17.099
0.315,16.001,17.0026
0.316,14.5696,16.8952
0.317,13.2483,16.7785
0.318,12.0486,16.6959
0.319,10.9858,16.6488
